index,path,title,size_bytes,size_human,git_blob_sha1,object_format,license_status,redistribution_approved,import_recommendation,import_reason,exact_duplicate_of,probable_duplicate_of,ocr_need_estimate,ocr_estimate_confidence,language_estimate,blob_api_url,raw_url
37,Fundamentals of Robotic Mechanical Systems - Jorge Angeles.pdf,Fundamentals of Robotic Mechanical Systems - Jorge Angeles,26691422,25.5 MiB,c1745df3cfb3658d9db562067b1d5e9a254bfdc3,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/c1745df3cfb3658d9db562067b1d5e9a254bfdc3,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Fundamentals%20of%20Robotic%20Mechanical%20Systems%20-%20Jorge%20Angeles.pdf
38,Fundamentals of Robotics Linking Perception to Action - Ming Xie.pdf,Fundamentals of Robotics Linking Perception to Action - Ming Xie,37262413,35.5 MiB,39a544523d3f9c2e9198bdad841a73faa35a54f0,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,likely_scanned_or_image_heavy,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/39a544523d3f9c2e9198bdad841a73faa35a54f0,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Fundamentals%20of%20Robotics%20Linking%20Perception%20to%20Action%20-%20Ming%20Xie.pdf
39,Grippers in Motion - the Fascination of Automated Handling Tasks - Wolf.pdf,Grippers in Motion - the Fascination of Automated Handling Tasks - Wolf,17654335,16.8 MiB,1f605e66536a66c8d849dc2df4c391a16d4be808,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/1f605e66536a66c8d849dc2df4c391a16d4be808,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Grippers%20in%20Motion%20-%20the%20Fascination%20of%20Automated%20Handling%20Tasks%20-%20Wolf.pdf
40,Hacking Roomba - Tod E.Kurt.pdf,Hacking Roomba - Tod E.Kurt,8252969,7.9 MiB,9874a94b93e8209d982e248d76739a1a7e2e7020,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/9874a94b93e8209d982e248d76739a1a7e2e7020,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Hacking%20Roomba%20-%20Tod%20E.Kurt.pdf
41,Handbook of Geometric Computing - Eduardo Bayro Corrochano.pdf,Handbook of Geometric Computing - Eduardo Bayro Corrochano,11844795,11.3 MiB,fad522f04e3340205d623edd2896ef1eb362ed87,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/fad522f04e3340205d623edd2896ef1eb362ed87,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Handbook%20of%20Geometric%20Computing%20-%20Eduardo%20Bayro%20Corrochano.pdf
42,Handbook of Industrial Automation - Richard L. Shell and Ernest L. Hall.pdf,Handbook of Industrial Automation - Richard L. Shell and Ernest L. Hall,12400482,11.8 MiB,3a6bd9d73304f44d39abdb31814632bd9f9d04f8,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/3a6bd9d73304f44d39abdb31814632bd9f9d04f8,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Handbook%20of%20Industrial%20Automation%20-%20Richard%20L.%20Shell%20and%20Ernest%20L.%20Hall.pdf
43,Industrial Robots Programming - J. Norberto Pires.pdf,Industrial Robots Programming - J. Norberto Pires,20235697,19.3 MiB,3d5d924bdd094e36a50023b8586656ba7897002c,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/3d5d924bdd094e36a50023b8586656ba7897002c,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Industrial%20Robots%20Programming%20-%20J.%20Norberto%20Pires.pdf
44,"Informatics in Control, Automation and Robotics I - Braz J.pdf","Informatics in Control, Automation and Robotics I - Braz J",6260443,6.0 MiB,d39bacf81e0e8f7c87834c0174353f07a30cc79f,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/d39bacf81e0e8f7c87834c0174353f07a30cc79f,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Informatics%20in%20Control%2C%20Automation%20and%20Robotics%20I%20-%20Braz%20J.pdf
45,Innovations in Intelligent Machines 1 - Javaan Singh Chahl et al (Eds).pdf,Innovations in Intelligent Machines 1 - Javaan Singh Chahl et al (Eds),12261089,11.7 MiB,be8f3f131cd37d0c7f97ead8c0a3918234e787f3,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/be8f3f131cd37d0c7f97ead8c0a3918234e787f3,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Innovations%20in%20Intelligent%20Machines%201%20-%20Javaan%20Singh%20Chahl%20et%20al%20%28Eds%29.pdf
46,Innovations in Robot Mobility and Control - Srikanta Patnaik et al (Eds).pdf,Innovations in Robot Mobility and Control - Srikanta Patnaik et al (Eds),7039179,6.7 MiB,34db7c5aef1d240e38e040da66f9b4edec8cb918,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/34db7c5aef1d240e38e040da66f9b4edec8cb918,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Innovations%20in%20Robot%20Mobility%20and%20Control%20-%20Srikanta%20Patnaik%20et%20al%20%28Eds%29.pdf
